,iv,treated,group_id_overall,outcome
0,1,1,133,0.255814
1,1,0,229,0.331224
2,1,1,244,0.384615
3,1,1,245,0.430804
4,1,0,250,0.231405
5,1,0,250,0.219438
6,1,0,250,0.182692
7,1,1,250,0.19256
8,1,1,250,0.286058
9,1,0,250,0.21871
10,0,0,250,0.219274
11,0,0,250,0.239016
12,1,1,250,0.19656
13,0,0,250,0.169492
14,1,1,250,0.395604
15,1,1,250,0.436364
16,1,0,250,0.260542
17,1,0,250,0.243954
18,1,1,250,0.235294
19,1,1,250,0.253589
20,0,0,250,0.172414
21,0,0,250,0.143885
22,1,1,250,0.279557
23,0,0,250,0.224044
24,1,0,250,0.277628
25,0,0,250,0.168224
26,1,0,250,0.261421
27,1,1,250,0.281553
28,1,0,250,0.124191
29,1,0,250,0.350163
30,1,0,250,0.190037
31,1,0,250,0.211132
32,1,0,250,0.192941
33,1,0,250,0.309524
34,1,1,250,0.183374
35,1,0,250,0.17284
36,1,0,250,0.34215
37,1,0,250,0.321591
38,1,1,250,0.284464
39,1,1,250,0.219512
40,1,1,250,0.243858
41,1,0,250,0.224777
42,1,1,250,0.162313
43,1,1,250,0.211896
44,1,1,250,0.334281
45,0,0,251,0.281755
46,1,0,251,0.22
47,1,0,251,0.266404
48,0,0,251,0.224551
49,1,1,251,0.194724
50,1,0,251,0.255255
51,1,0,251,0.268823
52,0,0,251,0.155738
53,1,0,251,0.303495
54,1,0,251,0.207692
55,1,1,251,0.191268
56,1,0,251,0.303279
57,1,1,251,0.170213
58,1,0,251,0.144279
59,0,0,251,0.213396
60,1,1,251,0.222455
61,1,0,251,0.298113
62,1,1,251,0.212382
63,1,1,252,0.28125
64,1,1,252,0.346457
65,1,0,252,0.223022
66,0,0,252,0.31819
67,0,0,252,0.255061
68,1,0,252,0.265455
69,1,0,252,0.223793
70,1,0,252,0.406172
71,1,0,252,0.237354
72,0,0,252,0.209622
73,1,1,252,0.339168
74,1,1,252,0.254348
75,1,1,252,0.282488
76,1,0,252,0.256131
77,1,0,252,0.3
78,1,0,252,0.120419
79,1,1,252,0.348936
80,1,0,252,0.228731
81,0,0,252,0.264765
82,1,1,252,0.218143
83,1,1,252,0.257143
84,0,0,252,0.274331
85,1,0,252,0.273256
86,1,1,252,0.243572
87,1,0,252,0.201449
88,1,0,252,0.243243
89,0,0,252,0.276435
90,1,0,252,0.300971
91,1,0,252,0.323529
92,1,1,252,0.179245
93,1,1,252,0.386591
94,1,0,252,0.277863
95,1,1,252,0.261311
96,1,0,252,0.239407
97,1,1,252,0.299956
98,1,1,252,0.380165
99,1,1,252,0.181966
100,1,1,252,0.290327
101,1,0,252,0.198218
102,1,1,252,0.296626
103,1,1,252,0.306667
104,1,0,252,0.236623
105,0,0,252,0.228188
106,1,1,252,0.181818
107,0,0,252,0.305633
108,1,0,252,0.252475
109,1,1,252,0.346667
110,1,1,252,0.33833
111,1,0,252,0.261925
112,1,1,252,0.277476
113,1,1,252,0.205966
114,1,0,252,0.216216
115,1,1,252,0.262418
116,1,1,252,0.293023
117,1,0,252,0.250582
118,1,0,252,0.308966
119,1,0,252,0.218635
120,1,1,252,0.31614
121,1,0,252,0.309166
122,1,0,252,0.251359
123,1,1,252,0.185763
124,1,1,252,0.318052
125,1,0,252,0.272727
126,0,0,252,0.292639
127,1,0,252,0.211697
128,1,1,252,0.361478
129,1,0,252,0.26775
130,1,0,252,0.286999
131,1,1,252,0.314795
132,1,0,252,0.24
133,1,0,252,0.172205
134,1,0,252,0.31985
135,0,0,252,0.362745
136,0,0,252,0.299283
137,1,1,252,0.26293
138,1,0,252,0.21322
139,1,0,252,0.298018
140,1,1,252,0.214765
141,1,0,252,0.343426
142,1,0,252,0.286357
143,1,1,252,0.289864
144,0,0,252,0.290146
145,1,1,252,0.36
146,1,0,252,0.315631
147,1,0,252,0.314928
148,1,0,252,0.25966
149,0,0,252,0.324586
150,0,0,252,0.211538
151,1,0,252,0.264957
152,1,1,252,0.277451
153,1,1,252,0.376052
154,1,0,252,0.203501
155,1,1,252,0.258596
156,1,1,252,0.196286
157,1,0,252,0.335006
158,0,0,252,0.268623
159,0,0,252,0.274432
160,1,0,252,0.3
161,1,0,252,0.273893
162,1,1,252,0.266151
163,1,1,252,0.298507
164,1,0,252,0.292994
165,1,1,252,0.30426
166,1,0,252,0.216942
167,1,0,252,0.36475
168,0,0,252,0.335817
169,1,1,252,0.487245
170,1,1,252,0.303469
171,1,0,252,0.250511
172,1,1,252,0.321928
173,1,0,252,0.301587
174,1,1,252,0.258621
175,1,0,252,0.184282
176,1,0,252,0.286837
177,1,0,252,0.156294
178,1,1,252,0.325581
179,1,1,252,0.25814
180,1,1,252,0.311018
181,0,0,252,0.245977
182,1,0,252,0.37723
183,1,1,252,0.244635
184,1,0,252,0.227273
185,1,0,252,0.261874
186,1,1,252,0.267857
187,1,1,252,0.287474
188,1,1,252,0.209945
189,1,1,252,0.286432
190,1,0,252,0.274536
191,1,0,252,0.303797
192,1,0,252,0.315202
193,1,0,252,0.327103
194,1,1,252,0.374897
195,1,0,252,0.259317
196,1,0,252,0.271186
197,1,0,252,0.291785
198,1,1,252,0.278727
199,1,0,252,0.331858
200,1,1,252,0.288754
201,1,1,252,0.315315
202,1,1,252,0.351396
203,1,0,252,0.126214
204,1,1,252,0.223938
205,1,0,252,0.340909
206,1,0,252,0.168675
207,1,1,252,0.307018
208,1,0,252,0.304348
209,1,0,252,0.239295
210,1,0,252,0.208138
211,1,0,252,0.290909
212,1,0,252,0.383292
213,1,0,252,0.322368
214,1,0,252,0.295983
215,0,0,252,0.353425
216,1,0,252,0.222047
217,1,1,252,0.259861
218,1,0,252,0.350282
219,1,0,252,0.245007
220,1,0,252,0.206316
221,1,1,252,0.324742
222,1,0,252,0.235526
223,1,0,252,0.261364
224,0,0,252,0.285955
225,1,0,252,0.283262
226,1,0,252,0.331343
227,1,0,252,0.321429
228,1,1,252,0.299658
229,1,1,252,0.377648
230,1,1,252,0.369004
231,1,0,252,0.217839
232,1,0,252,0.245467
233,0,0,252,0.211321
234,1,0,252,0.253012
235,1,0,252,0.243711
236,1,0,252,0.21
237,1,1,252,0.314667
238,1,0,252,0.246819
239,1,0,252,0.302682
240,1,1,252,0.290942
241,1,1,252,0.306606
242,0,0,252,0.369845
243,1,0,252,0.317191
244,1,0,252,0.359347
245,1,1,253,0.226027
246,1,0,253,0.232877
247,1,0,253,0.189189
248,1,0,253,0.232767
249,1,0,253,0.247455
250,1,1,253,0.383747
251,1,0,253,0.246862
252,1,0,253,0.265171
253,0,0,253,0.276576
254,1,0,253,0.234094
255,1,0,253,0.358474
256,1,0,253,0.231722
257,1,0,253,0.295499
258,0,0,253,0.251046
259,1,0,253,0.277778
260,0,0,253,0.215947
261,1,0,253,0.237895
262,1,0,253,0.335888
263,1,0,253,0.270968
264,1,0,253,0.314642
265,1,1,253,0.254261
266,1,0,253,0.385176
267,1,0,253,0.192771
268,1,0,253,0.271658
269,1,0,253,0.255875
270,1,0,253,0.300763
271,1,1,253,0.278947
272,1,0,253,0.244444
273,1,1,253,0.245455
274,1,0,253,0.254302
275,1,1,253,0.21848
276,0,0,253,0.240234
277,0,0,253,0.275862
278,1,0,253,0.227723
279,1,0,253,0.253968
280,1,0,253,0.275641
281,1,0,253,0.258528
282,1,0,253,0.218919
283,1,1,253,0.319853
284,0,0,253,0.261484
285,1,0,253,0.226901
286,1,1,253,0.247582
287,1,1,253,0.309804
288,1,0,253,0.270567
289,1,0,253,0.212181
290,1,0,253,0.226306
291,1,1,253,0.257899
292,0,0,253,0.19899
