,iv,treated,group_id_overall,outcome
0,1,0,34,0.462838
1,1,0,11,0.337596
2,0,0,11,0.302857
3,1,1,17,0.444086
4,1,1,17,0.507292
5,1,0,18,0.401731
6,0,0,18,0.39749
7,1,1,34,0.411966
8,1,1,17,0.482838
9,1,0,34,0.346726
10,1,1,18,0.366617
11,1,0,34,0.489796
12,0,0,17,0.415038
13,0,0,34,0.398519
14,0,0,75,0.157143
15,1,1,75,0.297753
16,1,1,37,0.314157
17,1,0,53,0.271186
18,0,0,53,0.262958
19,1,1,62,0.278802
20,0,0,61,0.171171
21,1,0,67,0.26161
22,1,1,80,0.292778
23,0,0,81,0.283019
24,1,0,81,0.232877
25,0,0,37,0.292941
26,0,0,62,0.260057
27,1,1,61,0.368231
28,1,1,61,0.403471
29,0,0,67,0.225806
30,0,0,80,0.21519
31,1,0,81,0.284144
32,1,0,80,0.338403
33,0,0,5,0.463918
34,1,0,39,0.399731
35,1,1,39,0.520599
36,1,1,39,0.514739
37,0,0,39,0.410884
38,1,0,39,0.394366
39,1,0,79,0.212181
40,1,1,5,0.480996
41,0,0,69,0.149351
42,1,0,69,0.263889
43,0,0,79,0.276224
44,1,1,73,0.212382
45,0,0,73,0.167224
46,1,1,73,0.186111
47,1,1,78,0.21845
48,0,0,78,0.378947
49,0,0,76,0.329218
50,1,1,76,0.335294
51,1,0,92,0.162896
52,0,0,55,0.374408
53,1,1,55,0.458599
54,1,0,72,0.331224
55,1,0,71,0.351064
56,0,0,92,0.228261
57,1,1,89,0.332155
58,1,1,89,0.36
59,1,1,38,0.366071
60,0,0,38,0.367213
61,1,1,44,0.27
62,0,0,44,0.341667
63,0,0,58,0.28125
64,0,0,65,0.204545
65,1,1,65,0.185185
66,1,1,89,0.486842
67,0,0,89,0.359133
68,0,0,93,0.261574
69,1,1,49,0.313433
70,1,1,51,0.365854
71,0,0,49,0.325926
72,1,1,58,0.258596
73,0,0,90,0.272727
74,0,0,83,0.244373
75,1,1,83,0.329764
76,1,1,42,0.204918
77,0,0,42,0.255034
78,1,1,50,0.252427
79,0,0,51,0.227642
80,0,0,60,0.315217
81,1,1,60,0.374795
82,0,0,68,0.445946
83,1,1,68,0.292308
84,0,0,70,0.483721
85,1,1,77,0.296552
86,1,1,70,0.284585
87,0,0,88,0.385382
88,1,1,87,0.421687
89,0,0,87,0.442177
90,1,0,88,0.406172
91,1,0,41,0.196629
92,0,0,41,0.224377
93,1,1,46,0.308333
94,0,0,46,0.268966
95,1,1,54,0.291429
96,0,0,54,0.224852
97,0,0,57,0.27668
98,1,0,54,0.312258
99,1,1,57,0.247863
100,0,0,63,0.217391
101,1,1,63,0.358333
102,1,0,82,0.190037
103,0,0,82,0.252475
104,1,0,40,0.284519
105,0,0,43,0.441026
106,0,0,45,0.417582
107,1,1,45,0.395604
108,0,0,52,0.362745
109,1,0,52,0.277628
110,1,1,59,0.294521
111,1,1,66,0.242009
112,0,0,66,0.311321
113,1,1,86,0.397959
114,0,0,40,0.309615
115,1,1,40,0.260813
116,1,1,43,0.288136
117,1,1,48,0.325758
118,1,1,56,0.341463
119,0,0,56,0.222826
120,1,1,56,0.252101
121,0,0,59,0.309278
122,1,0,64,0.35
123,0,0,64,0.403846
124,0,0,74,0.215054
125,1,1,74,0.158621
126,0,0,86,0.448276
127,1,1,85,0.421053
128,0,0,85,0.244444
129,0,0,84,0.318182
130,1,1,24,0.42467
131,0,0,24,0.378649
132,1,0,12,0.306916
133,0,0,12,0.304114
134,1,0,29,0.342623
135,0,0,30,0.35493
136,1,0,23,0.363112
137,1,0,29,0.401225
138,0,0,29,0.310236
139,1,0,23,0.369863
140,0,0,10,0.345109
141,0,0,48,0.287247
142,1,0,64,0.315315
143,1,1,74,0.278027
144,1,0,91,0.232759
145,1,1,91,0.323232
146,1,1,84,0.264151
147,1,1,91,0.221557
148,1,1,30,0.378761
149,0,0,23,0.408
150,1,0,29,0.302885
151,1,1,10,0.369774
152,1,1,29,0.293924
153,0,0,27,0.365801
154,1,1,27,0.365494
155,1,0,27,0.39084
156,0,0,20,0.295322
157,1,1,9,0.326702
158,1,1,28,0.346154
159,0,0,28,0.32859
160,1,1,28,0.361526
161,1,1,9,0.364544
162,1,0,28,0.38825
163,1,0,4,0.237931
164,0,0,9,0.32619
165,0,0,4,0.294537
166,1,0,20,0.337526
167,1,0,3,0.413462
168,0,0,3,0.412646
169,1,0,32,0.314363
170,1,1,32,0.310198
171,0,0,32,0.34275
172,1,0,32,0.313869
173,0,0,35,0.381898
174,1,1,35,0.457413
175,1,0,31,0.371429
176,1,0,31,0.346798
177,0,0,31,0.275618
178,1,1,36,0.303241
179,0,0,36,0.288889
180,1,1,36,0.415254
181,1,1,7,0.443114
182,0,0,2,0.327402
183,1,0,2,0.370166
184,0,0,7,0.484805
185,1,0,19,0.321613
186,1,0,19,0.235023
187,1,0,8,0.288927
188,1,0,19,0.254545
189,0,0,19,0.326651
190,0,0,8,0.282486
191,1,1,25,0.428947
192,0,0,26,0.303406
193,1,0,33,0.273361
194,1,1,26,0.287701
195,1,1,26,0.282678
196,1,1,26,0.333713
197,1,1,6,0.316474
198,0,0,25,0.522727
199,0,0,33,0.346801
200,1,1,33,0.312588
201,1,0,6,0.30605
202,0,0,6,0.314387
203,1,0,21,0.393382
204,0,0,21,0.387171
205,0,0,13,0.278261
206,1,0,13,0.240793
207,1,1,22,0.414918
208,0,0,22,0.417051
209,1,1,21,0.318408
210,1,0,13,0.338677
211,1,1,13,0.344648
212,1,0,21,0.348865
213,1,1,1,0.46875
214,0,0,1,0.626302
215,1,1,14,0.264871
216,1,0,16,0.29794
217,1,1,15,0.321429
218,1,0,14,0.267292
219,1,0,16,0.308797
220,0,0,14,0.243083
221,0,0,15,0.334258
222,1,1,16,0.35369
223,1,1,14,0.29588
224,0,0,16,0.318046
225,0,0,47,0.351178
226,1,1,47,0.339168
227,0,0,50,0.202454
228,1,1,65,0.409091
229,0,0,71,0.176271
230,0,0,72,0.336148
231,0,0,77,0.335165
232,1,0,77,0.3125
233,1,1,89,0.313043
234,1,1,93,0.288388
235,1,1,90,0.346457
236,0,0,91,0.3125
