,iv,treated,group_id_overall,outcome
0,1,1,44,0.243562
1,1,0,38,0.321429
2,0,0,38,0.224127
3,1,1,38,0.30426
4,1,1,40,0.356343
5,1,1,45,0.458599
6,1,1,43,0.36
7,0,0,41,0.367213
8,1,0,37,0.29107
9,1,1,37,0.351351
10,1,0,38,0.259317
11,0,0,76,0.335165
12,1,1,76,0.255814
13,1,1,78,0.325758
14,1,1,81,0.293023
15,1,1,91,0.258596
16,1,0,91,0.231405
17,1,1,91,0.318052
18,1,1,92,0.331878
19,1,0,91,0.313752
20,1,1,91,0.365854
21,1,0,91,0.361325
22,1,0,91,0.144279
23,1,0,91,0.277628
24,1,1,91,0.223938
25,1,1,96,0.436364
26,1,0,98,0.334459
27,1,1,98,0.326599
28,1,1,106,0.29097
29,1,1,106,0.333333
30,1,1,110,0.325397
31,1,1,110,0.313043
32,1,0,110,0.3125
33,1,1,68,0.297753
34,1,1,86,0.464043
35,1,0,107,0.338346
36,0,0,107,0.157143
37,1,0,112,0.463376
38,1,1,110,0.194805
39,1,0,34,0.462838
40,1,0,11,0.337596
41,0,0,11,0.302857
42,1,1,17,0.444086
43,1,1,17,0.507292
44,1,0,18,0.401731
45,0,0,18,0.39749
46,1,1,34,0.411966
47,1,1,17,0.482838
48,1,0,34,0.346726
49,1,1,18,0.366617
50,1,0,34,0.489796
51,0,0,17,0.415038
52,0,0,34,0.398519
53,0,0,39,0.262958
54,1,1,39,0.227848
55,1,0,53,0.276024
56,1,1,64,0.389734
57,1,1,70,0.173913
58,0,0,70,0.262712
59,0,0,71,0.263158
60,1,1,70,0.21645
61,1,1,70,0.209945
62,0,0,80,0.309322
63,1,1,76,0.287129
64,1,0,84,0.373494
65,0,0,82,0.283019
66,0,0,84,0.171171
67,1,0,91,0.36475
68,1,0,91,0.16568
69,1,0,95,0.271186
70,1,0,96,0.2375
71,0,0,103,0.406977
72,1,1,105,0.33617
73,1,0,106,0.26161
74,0,0,46,0.260057
75,1,0,39,0.31358
76,1,0,46,0.338403
77,0,0,54,0.292941
78,1,1,54,0.368231
79,1,1,52,0.286754
80,1,1,80,0.444976
81,1,0,81,0.3
82,0,0,92,0.225806
83,1,0,95,0.284144
84,1,1,102,0.322335
85,1,1,100,0.277778
86,0,0,105,0.21519
87,1,1,111,0.265476
88,1,1,112,0.313889
89,1,0,110,0.27451
90,1,1,111,0.308861
91,0,0,45,0.240838
92,1,1,56,0.286741
93,0,0,58,0.330159
94,1,0,60,0.2827
95,0,0,72,0.35782
96,1,0,81,0.245007
97,1,0,81,0.253028
98,0,0,5,0.463918
99,1,0,81,0.295499
100,1,0,81,0.204724
101,1,0,81,0.335888
102,1,0,86,0.399731
103,1,1,86,0.520599
104,1,1,86,0.514739
105,0,0,86,0.410884
106,1,0,86,0.394366
107,1,0,95,0.298018
108,1,1,103,0.613583
109,0,0,37,0.167224
110,0,0,49,0.259777
111,0,0,56,0.149351
112,1,1,67,0.186047
113,0,0,73,0.247863
114,1,0,74,0.263889
115,1,1,81,0.228261
116,1,1,88,0.243858
117,1,1,91,0.212382
118,1,1,5,0.480996
119,1,0,91,0.257932
120,1,1,91,0.186111
121,1,1,91,0.19256
122,1,0,95,0.223793
123,1,0,95,0.235526
124,0,0,95,0.276224
125,1,1,104,0.463746
126,1,1,104,0.5
127,1,1,106,0.24183
128,1,1,106,0.447059
129,1,1,111,0.292345
130,1,0,109,0.236623
131,0,0,115,0.553314
132,0,0,47,0.272837
133,0,0,52,0.304022
134,1,1,58,0.300971
135,1,1,59,0.388506
136,0,0,64,0.342932
137,0,0,66,0.263566
138,1,1,72,0.466667
139,1,0,72,0.447761
140,1,1,72,0.514134
141,1,1,71,0.300878
142,1,0,80,0.299671
143,1,0,81,0.216216
144,1,1,101,0.389864
145,1,1,103,0.390625
146,1,1,104,0.459582
147,1,1,104,0.364909
148,1,0,104,0.369844
149,1,0,106,0.319797
150,1,1,111,0.450049
151,1,0,110,0.289773
152,1,1,110,0.30597
153,1,0,112,0.358006
154,0,0,55,0.376751
155,1,0,56,0.359347
156,1,1,61,0.387218
157,1,0,68,0.126582
158,0,0,68,0.329218
159,1,1,76,0.21845
160,1,1,81,0.192179
161,1,1,81,0.281553
162,1,1,85,0.22093
163,1,0,91,0.284452
164,0,0,102,0.292117
165,1,0,95,0.300839
166,1,0,95,0.248804
167,1,0,95,0.267829
168,1,1,102,0.30885
169,1,1,104,0.488981
170,1,1,104,0.548561
171,1,1,107,0.233333
172,1,1,112,0.316994
173,0,0,111,0.149425
174,0,0,110,0.378947
175,1,1,110,0.335294
176,0,0,48,0.336148
177,0,0,57,0.374408
178,0,0,61,0.334821
179,1,1,66,0.369748
180,1,1,65,0.282167
181,0,0,74,0.175793
182,1,1,78,0.332155
183,1,1,76,0.314634
184,1,1,83,0.418367
185,1,1,91,0.319559
186,1,0,91,0.331224
187,1,1,91,0.307018
188,1,0,91,0.286822
189,1,0,91,0.34
190,1,1,91,0.339168
191,1,0,96,0.268519
192,1,1,98,0.25
193,1,0,95,0.294118
194,0,0,96,0.351178
195,1,1,106,0.271062
196,1,1,111,0.281973
197,0,0,109,0.228261
198,1,1,109,0.27065
199,1,1,109,0.37265
200,1,0,109,0.315631
201,1,0,113,0.351064
202,0,0,113,0.176271
203,1,1,43,0.366071
204,1,1,43,0.34471
205,1,1,44,0.299145
206,0,0,53,0.359133
207,1,1,51,0.404348
208,0,0,61,0.261574
209,0,0,60,0.28125
210,1,1,75,0.486842
211,0,0,78,0.282407
212,1,1,85,0.27
213,0,0,85,0.341667
214,1,1,84,0.294
215,1,1,89,0.185185
216,1,1,91,0.315315
217,1,0,91,0.314642
218,1,0,91,0.303797
219,1,0,91,0.246819
220,1,1,101,0.379464
221,1,0,106,0.313433
222,1,0,110,0.312775
223,0,0,110,0.204545
224,1,1,110,0.409091
225,1,1,114,0.376344
226,1,1,115,0.546693
227,1,1,38,0.324742
228,1,1,41,0.329764
229,1,1,48,0.31202
230,1,0,50,0.31457
231,0,0,51,0.325926
232,1,0,63,0.422222
233,0,0,65,0.173267
234,0,0,69,0.202454
235,1,1,78,0.313433
236,0,0,83,0.410628
237,0,0,88,0.272727
238,1,1,91,0.298507
239,0,0,91,0.255061
240,1,0,91,0.384083
241,1,0,97,0.261682
242,1,0,95,0.293839
243,1,0,95,0.263158
244,0,0,98,0.244373
245,1,1,95,0.296626
246,1,0,104,0.406109
247,1,1,106,0.337564
248,1,1,106,0.305627
249,1,1,108,0.192
250,0,0,112,0.421903
251,1,0,109,0.326797
252,1,1,114,0.480663
253,1,1,41,0.321739
254,0,0,50,0.385382
255,0,0,59,0.442177
256,1,1,62,0.204918
257,0,0,62,0.255034
258,1,1,78,0.252427
259,0,0,79,0.427711
260,1,1,76,0.390244
261,0,0,89,0.315217
262,1,0,91,0.311828
263,1,1,91,0.413534
264,1,1,91,0.438163
265,1,1,91,0.393868
266,0,0,96,0.227642
267,0,0,101,0.445946
268,1,1,102,0.323741
269,1,1,106,0.356115
270,1,1,106,0.54321
271,1,1,110,0.202899
272,0,0,108,0.483721
273,1,1,110,0.296552
274,1,1,110,0.374795
275,1,1,114,0.437037
276,1,1,114,0.292308
277,1,0,41,0.312258
278,0,0,40,0.224377
279,1,0,61,0.196629
280,1,1,73,0.256198
281,1,1,76,0.291429
282,0,0,77,0.224852
283,0,0,81,0.24048
284,1,0,81,0.211326
285,1,1,81,0.256231
286,1,0,81,0.244224
287,0,0,81,0.268966
288,1,1,82,0.209945
289,1,1,93,0.291339
290,0,0,99,0.217391
291,1,0,95,0.190037
292,0,0,102,0.27668
293,1,0,94,0.263374
294,1,1,95,0.308333
295,0,0,97,0.252475
296,1,1,106,0.255319
297,1,1,106,0.358333
298,1,1,109,0.27518
299,1,1,110,0.278772
300,1,1,114,0.276119
301,1,1,114,0.247863
302,0,0,44,0.441026
303,0,0,43,0.311321
